Period,DefaultRate,USDJPYSPOT,NikkeiStockAverage,CallRate,PrimeRateST,PrimeRateLT,LendingLocalBank,All_RE_Price,Tokyo_RE_Price,Hiroshima_RE_Price,Yamaguchi_RE_Price,Fukuoka_RE_Price,All_RE_Rate,Tokyo_RE_Rate,Hiroshima_RE_Rate,Yamaguchi_RE_Rate,Fukuoka_RE_Rate
1-Mar,0.022,125.27,12999.7,0.12,1.733,2.304,1802622,"130,700","383,800","107,600",58100,"112,400",-3.6,-7.4,-1.7,-0.9,-1.8
1-Apr,0.022,124.06,13934.32,0.02,1.68,2.278,1779771,,,,,,,,,,
1-May,0.023,119.06,13262.14,0.03,1.633,2.255,1761888,,,,,,,,,,
1-Jun,0.023,124.27,12969.05,0.06,1.61,2.213,1744381,,,,,,,,,,
1-Jul,0.024,124.79,11860.77,0.02,1.594,2.196,1748533,,,,,,,,,,
1-Aug,0.024,118.92,10713.51,0.01,1.58,2.185,1748255,,,,,,,,,,
1-Sep,0.025,119.29,9774.68,0.003,1.534,2.168,1754994,,,,,,,,,,
1-Oct,0.025,121.84,10366.34,0.003,1.525,2.16,1750324,,,,,,,,,,
1-Nov,0.025,123.98,10697.44,0.003,1.552,2.152,1752084,,,,,,,,,,
1-Dec,0.026,131.47,10542.62,0.002,1.569,2.131,1767497,,,,,,,,,,
2-Jan,0.026,132.94,9997.8,0.001,1.56,2.121,1769531,,,,,,,,,,
2-Feb,0.026,133.89,10587.83,0.001,1.559,2.113,1763019,,,,,,,,,,
2-Mar,0.027,132.71,11024.94,0.012,1.588,2.104,1771978,"122,800","365,700","101,900","55,600","105,500",-4.1,-6.5,-2.1,-1.6,-2.4
2-Apr,0.027,127.97,11492.54,0.002,1.561,2.092,1748451,,,,,,,,,,
2-May,0.027,123.96,11763.7,0.002,1.553,2.086,1735657,,,,,,,,,,
2-Jun,0.027,119.22,10621.84,0.002,1.551,2.092,1731308,,,,,,,,,,
2-Jul,0.027,119.82,9877.94,0.001,1.556,2.09,1731442,,,,,,,,,,
2-Aug,0.027,117.97,9619.3,0.002,1.533,2.085,1735934,,,,,,,,,,
2-Sep,0.027,121.79,9383.29,0.067,1.531,2.075,1741819,,,,,,,,,,
2-Oct,0.027,122.48,8640.48,0.002,1.522,2.067,1737310,,,,,,,,,,
2-Nov,0.026,122.44,9215.56,0.002,1.519,2.063,1739562,,,,,,,,,,
2-Dec,0.026,119.37,8578.95,0.002,1.525,2.042,1752698,,,,,,,,,,
3-Jan,0.026,119.21,8339.94,0.001,1.52,2.037,1756528,,,,,,,,,,
3-Feb,0.026,117.75,8363.04,0.001,1.541,2.031,1750555,,,,,,,,,,
3-Mar,0.024,119.02,7972.71,0.021,1.54,2.014,1757999,"114,800","347,900","95,200","52,400","100,600",-5,-6.6,-3.1,-3.2,-3.5
3-Apr,0.024,119.46,7831.42,0.002,1.546,2.007,1738286,,,,,,,,,,
3-May,0.023,118.63,8424.51,0.002,1.574,1.997,1722797,,,,,,,,,,
3-Jun,0.023,119.82,9083.11,0.001,1.568,1.989,1713807,,,,,,,,,,
